Imagen,Frontal,Metricas
00_17_1680262241142_rgb.png,NO,Dev:3.49 Ratio:0.05
00_17_1680262186958_rgb.png,NO,Dev:4.59 Ratio:0.04
00_17_1680262338076_rgb.png,NO,Dev:4.12 Ratio:0.06
00_17_1680262442541_rgb.png,SÍ,Dev:0.07 Ratio:0.53
00_17_1680259678697_rgb.png,SÍ,Dev:0.02 Ratio:0.57
00_17_1680262378416_rgb.png,SÍ,Dev:0.09 Ratio:0.52
00_17_1680262430198_rgb.png,SÍ,Dev:0.09 Ratio:0.53
00_17_1680262344398_rgb.png,SÍ,Dev:0.03 Ratio:0.53
00_17_1680262615036_rgb.png,NO,Dev:2.34 Ratio:0.10
00_17_1680262623165_rgb.png,NO,Dev:1.94 Ratio:0.10
00_17_1680259540512_rgb.png,NO,Dev:1.52 Ratio:0.22
00_17_1680259499263_rgb.png,NO,Dev:3.53 Ratio:0.06
00_17_1680259585968_rgb.png,NO,Dev:1.63 Ratio:0.13
00_17_1680262183045_rgb.png,NO,Dev:4.40 Ratio:0.04
00_17_1680262351021_rgb.png,SÍ,Dev:0.04 Ratio:0.52
00_17_1680262274254_rgb.png,NO,Dev:22.74 Ratio:0.01
00_17_1680259517027_rgb.png,NO,Dev:0.88 Ratio:0.14
00_17_1680262530143_rgb.png,SÍ,Dev:0.08 Ratio:0.54
00_17_1680262399792_rgb.png,SÍ,Dev:0.05 Ratio:0.48
00_17_1680259541114_rgb.png,NO,Dev:1.98 Ratio:0.13
00_17_1680262622563_rgb.png,NO,Dev:1.98 Ratio:0.11
00_17_1680262370889_rgb.png,SÍ,Dev:0.08 Ratio:0.56
00_17_1680259588376_rgb.png,NO,Dev:1.19 Ratio:0.21
00_17_1680262182443_rgb.png,NO,Dev:4.93 Ratio:0.04
00_17_1680259793408_rgb.png,NO,Dev:3.80 Ratio:0.08
00_17_1680262579514_rgb.png,NO,Dev:1.27 Ratio:0.14
00_17_1680259626008_rgb.png,SÍ,Dev:0.01 Ratio:0.57
00_17_1680262684577_rgb.png,NO,Dev:3.57 Ratio:0.06
00_17_1680259518231_rgb.png,NO,Dev:0.98 Ratio:0.11
00_17_1680262189668_rgb.png,NO,Dev:5.07 Ratio:0.04
00_17_1680262721605_rgb.png,NO,Dev:4.87 Ratio:0.04
00_17_1680262290812_rgb.png,NO,Dev:5.80 Ratio:0.05
00_17_1680259506491_rgb.png,NO,Dev:2.39 Ratio:0.07
00_17_1680259728980_rgb.png,NO,Dev:3.03 Ratio:0.09
00_17_1680262219769_rgb.png,NO,Dev:2.62 Ratio:0.07
00_17_1680262500641_rgb.png,SÍ,Dev:0.12 Ratio:0.56
00_17_1680259799430_rgb.png,NO,Dev:25.70 Ratio:0.01
00_17_1680262181540_rgb.png,NO,Dev:2.02 Ratio:0.09
00_17_1680259641664_rgb.png,SÍ,Dev:0.01 Ratio:0.48
00_17_1680262327539_rgb.png,NO,Dev:1.48 Ratio:0.11
00_17_1680262394071_rgb.png,SÍ,Dev:0.07 Ratio:0.50
00_17_1680262475352_rgb.png,NO,Dev:0.32 Ratio:0.65
00_17_1680262672537_rgb.png,NO,Dev:37.29 Ratio:0.01
00_17_1680262686082_rgb.png,NO,Dev:1.77 Ratio:0.14
00_17_1680259498661_rgb.png,NO,Dev:0.74 Ratio:0.21
00_17_1680262711972_rgb.png,NO,Dev:94.91 Ratio:0.00
00_17_1680259762397_rgb.png,NO,Dev:0.72 Ratio:0.18
00_17_1680262329044_rgb.png,NO,Dev:5.03 Ratio:0.05
00_17_1680262614434_rgb.png,NO,Dev:2.67 Ratio:0.10
00_17_1680259802440_rgb.png,NO,Dev:12.10 Ratio:0.02
00_17_1680259839169_rgb.png,NO,Dev:5.37 Ratio:0.05
00_17_1680262207728_rgb.png,NO,Dev:1.32 Ratio:0.11
00_17_1680259622997_rgb.png,SÍ,Dev:0.02 Ratio:0.56
00_17_1680262712875_rgb.png,NO,Dev:6.93 Ratio:0.03
00_17_1680259750656_rgb.png,NO,Dev:65.51 Ratio:0.00
00_17_1680262476255_rgb.png,SÍ,Dev:0.10 Ratio:0.58
00_17_1680262737861_rgb.png,NO,Dev:8.78 Ratio:0.03
00_17_1680259573928_rgb.png,NO,Dev:32.50 Ratio:0.01
00_17_1680259528168_rgb.png,NO,Dev:3.00 Ratio:0.06
00_17_1680262452175_rgb.png,SÍ,Dev:0.04 Ratio:0.49
00_17_1680262560548_rgb.png,NO,Dev:11.48 Ratio:0.02
00_17_1680259574229_rgb.png,NO,Dev:11.30 Ratio:0.02
00_17_1680259787988_rgb.png,NO,Dev:24.92 Ratio:0.01
00_17_1680262537668_rgb.png,SÍ,Dev:0.10 Ratio:0.57
00_17_1680262567472_rgb.png,NO,Dev:12.60 Ratio:0.02
00_17_1680259487819_rgb.png,NO,Dev:111.44 Ratio:0.00
00_17_1680259516425_rgb.png,NO,Dev:2.29 Ratio:0.07
00_17_1680259670869_rgb.png,SÍ,Dev:0.04 Ratio:0.54
00_17_1680262328442_rgb.png,NO,Dev:11.51 Ratio:0.02
00_17_1680259698868_rgb.png,SÍ,Dev:0.17 Ratio:0.71
00_17_1680262403404_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680262501243_rgb.png,SÍ,Dev:0.07 Ratio:0.55
00_17_1680262492813_rgb.png,SÍ,Dev:0.04 Ratio:0.55
00_17_1680259624804_rgb.png,SÍ,Dev:0.00 Ratio:0.56
00_17_1680259657923_rgb.png,SÍ,Dev:0.02 Ratio:0.54
00_17_1680262515691_rgb.png,SÍ,Dev:0.00 Ratio:0.55
00_17_1680262283587_rgb.png,NO,Dev:2.89 Ratio:0.07
